sequence,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,timestamp
3,146.35,117.16,122.68,-21.06,0,0,0, 01:45:02.696,1.55E+12
4,-200.04,-145.13,-179.54,-190.17,0,0,0, 01:45:02.696,1.55E+12
5,-107.98,-95.8,-109.05,-154.57,0,0,0, 01:45:02.697,1.55E+12
6,184.89,132.92,148.91,-5.97,0,0,0, 01:45:02.697,1.55E+12
7,-91.25,-55.9,-69.01,-124.9,0,0,0, 01:45:02.710,1.55E+12
8,-211.52,-167.33,-174.04,-193.3,0,0,0, 01:45:02.710,1.55E+12
9,130.63,85.72,113.26,-19.8,0,0,0, 01:45:02.743,1.55E+12
10,51.61,52.57,49.96,-52.13,0,0,0, 01:45:02.743,1.55E+12
11,-252.86,-210.25,-216.72,-216.87,0,0,0, 01:45:02.745,1.55E+12
12,51.56,16.83,33.77,-68.89,0,0,0, 01:45:02.745,1.55E+12
13,145.65,118.73,127.86,-6.58,0,0,0, 01:45:02.745,1.55E+12
14,-196.91,-138.73,-172.85,-177.02,0,0,0, 01:45:02.745,1.55E+12
15,-101.46,-87.06,-85.29,-147.31,0,0,0, 01:45:02.747,1.55E+12
16,186.66,138.52,162.53,19,0,0,0, 01:45:02.747,1.55E+12
17,-96.21,-62.09,-73.5,-126.23,0,0,0, 01:45:02.755,1.55E+12
18,-203.04,-178.22,-168.36,-189.27,0,0,0, 01:45:02.755,1.55E+12
19,132.59,85.6,123.45,-16.18,0,0,0, 01:45:02.770,1.55E+12
20,53.27,46.6,45.16,-45.18,0,0,0, 01:45:02.770,1.55E+12
21,-251.87,-200.24,-217.8,-214.54,0,0,0, 01:45:02.786,1.55E+12
22,46.08,10.44,30.52,-66.13,0,0,0, 01:45:02.786,1.55E+12
23,143.76,120.66,132.63,3.73,0,0,0, 01:45:02.787,1.55E+12
24,-197.77,-143.83,-170.89,-168.74,0,0,0, 01:45:02.787,1.55E+12
25,-96.51,-96.79,-86.78,-129.48,0,0,0, 01:45:02.800,1.55E+12
